Power dependence  experiment 

Parameters:
Wavelength [nm]: 852.000000
Integration time [ms]: 100.000000
Threshold [V]: -0.200000
Beam diameter [um]: 1.100000

Power [mW] 	Power density [W/cm^2] 	Intensity (1Ch) [counts] 	Intensity (1Ch) [cps] 	Intensity (2Ch) [counts] 	Intensity (2Ch) [cps] 
2.638872	277678.976187	154.000000	1540.000000	130.000000	1300.000000
2.680516	282061.041564	149.000000	1490.000000	116.000000	1160.000000
2.736606	287963.171511	163.000000	1630.000000	123.000000	1230.000000
2.786940	293259.722846	182.000000	1820.000000	138.000000	1380.000000
2.833256	298133.357949	174.000000	1740.000000	150.000000	1500.000000
2.877156	302752.829195	163.000000	1630.000000	152.000000	1520.000000
2.933627	308695.001240	187.000000	1870.000000	180.000000	1800.000000
2.983826	313977.256869	227.000000	2270.000000	162.000000	1620.000000
3.034196	319277.500052	216.000000	2160.000000	186.000000	1860.000000
3.083439	324459.233958	239.000000	2390.000000	184.000000	1840.000000
3.148426	331297.518555	218.000000	2180.000000	168.000000	1680.000000
3.239150	340844.143609	258.000000	2580.000000	213.000000	2130.000000
3.277606	344890.729953	274.000000	2740.000000	201.000000	2010.000000
3.347890	352286.375326	302.000000	3020.000000	242.000000	2420.000000
3.388547	356564.636118	302.000000	3020.000000	245.000000	2450.000000
3.478304	366009.456108	309.000000	3090.000000	262.000000	2620.000000
3.529715	371419.189485	334.000000	3340.000000	310.000000	3100.000000
3.599660	378779.309078	347.000000	3470.000000	287.000000	2870.000000
3.681180	387357.289103	361.000000	3610.000000	338.000000	3380.000000
3.767382	396428.113070	461.000000	4610.000000	392.000000	3920.000000
3.837754	403833.047494	450.000000	4500.000000	397.000000	3970.000000
3.936305	414203.174606	495.000000	4950.000000	475.000000	4750.000000
4.004431	421371.868513	587.000000	5870.000000	487.000000	4870.000000
4.092531	430642.282893	695.000000	6950.000000	639.000000	6390.000000
4.164682	438234.557693	714.000000	7140.000000	671.000000	6710.000000
4.257814	448034.464099	868.000000	8680.000000	821.000000	8210.000000
4.351101	457850.680093	946.000000	9460.000000	947.000000	9470.000000
4.528887	476558.495412	1818.000000	18180.000000	1765.000000	17650.000000
4.614084	485523.426092	1825.000000	18250.000000	1751.000000	17510.000000
4.695642	494105.473244	2235.000000	22350.000000	2062.000000	20620.000000
4.823456	507554.898872	2985.000000	29850.000000	2832.000000	28320.000000
4.938225	519631.691348	3778.000000	37780.000000	3693.000000	36930.000000
5.025976	528865.432558	4809.000000	48090.000000	4499.000000	44990.000000
5.163081	543292.416194	6000.000000	60000.000000	5572.000000	55720.000000
5.256328	553104.537955	6377.000000	63770.000000	6078.000000	60780.000000
5.341022	562016.521908	7951.000000	79510.000000	7290.000000	72900.000000
5.409767	569250.375203	8714.000000	87140.000000	8182.000000	81820.000000
5.511686	579974.876895	10005.000000	100050.000000	9722.000000	97220.000000
5.567735	585872.742429	11329.000000	113290.000000	10577.000000	105770.000000
5.659396	595517.884533	12434.000000	124340.000000	11772.000000	117720.000000
5.731935	603150.905859	13437.000000	134370.000000	12805.000000	128050.000000
5.820073	612425.378948	15043.000000	150430.000000	14304.000000	143040.000000
5.898457	620673.437325	15916.000000	159160.000000	15117.000000	151170.000000
5.998440	631194.286697	18085.000000	180850.000000	17303.000000	173030.000000
6.097184	641584.759712	20602.000000	206020.000000	19499.000000	194990.000000
6.193413	651710.544547	24454.000000	244540.000000	23318.000000	233180.000000
6.276093	660410.711789	27264.000000	272640.000000	25685.000000	256850.000000
6.389934	672389.760889	31288.000000	312880.000000	30014.000000	300140.000000
6.507800	684792.351485	35219.000000	352190.000000	33233.000000	332330.000000
6.651523	699915.877514	47550.000000	475500.000000	43514.000000	435140.000000
6.744926	709744.275695	46793.000000	467930.000000	43398.000000	433980.000000
6.860624	721918.825184	50828.000000	508280.000000	47466.000000	474660.000000
6.974155	733865.261170	54137.000000	541370.000000	50253.000000	502530.000000
7.112304	748402.203704	64505.000000	645050.000000	60299.000000	602990.000000
7.221887	759933.203826	72222.000000	722220.000000	67707.000000	677070.000000
7.350901	773508.884471	80159.000000	801590.000000	75033.000000	750330.000000
7.463580	785365.721100	90516.000000	905160.000000	84989.000000	849890.000000
7.606878	800444.406371	97803.000000	978030.000000	91038.000000	910380.000000
7.710577	811356.243724	107166.000000	1071660.000000	100303.000000	1003030.000000
7.843578	825351.483929	115449.000000	1154490.000000	108484.000000	1084840.000000
7.973095	838980.128138	124665.000000	1246650.000000	116419.000000	1164190.000000
8.110586	853447.833719	135808.000000	1358080.000000	127913.000000	1279130.000000
8.246181	867715.953769	151434.000000	1514340.000000	142348.000000	1423480.000000
8.369659	880709.168049	158655.000000	1586550.000000	149147.000000	1491470.000000
8.498403	894256.376786	169825.000000	1698250.000000	160568.000000	1605680.000000
8.664654	911750.390886	183197.000000	1831970.000000	172773.000000	1727730.000000
8.819216	928014.336945	202829.000000	2028290.000000	191973.000000	1919730.000000
8.941727	940905.756548	220056.000000	2200560.000000	208586.000000	2085860.000000
9.103295	957906.950782	237459.000000	2374590.000000	226213.000000	2262130.000000
9.273765	975844.949427	258357.000000	2583570.000000	246557.000000	2465570.000000
9.342433	983070.640858	273365.000000	2733650.000000	261245.000000	2612450.000000
9.561598	1006132.615679	296358.000000	2963580.000000	283750.000000	2837500.000000
9.702999	1021011.702961	369393.500000	3693935.000000	378847.000000	3788470.000000
9.873857	1038990.425908	387110.500000	3871105.000000	398569.500000	3985695.000000
10.047501	1057262.419726	422411.500000	4224115.000000	430577.000000	4305770.000000
9.750997	1026062.316818	331040.500000	3310405.000000	325265.500000	3252655.000000
9.861693	1037710.480755	355141.500000	3551415.000000	351071.000000	3510710.000000
9.977077	1049851.951362	373698.500000	3736985.000000	369862.500000	3698625.000000
10.098768	1062657.040864	386113.000000	3861130.000000	383152.000000	3831520.000000
10.235022	1076994.550033	415019.500000	4150195.000000	408691.500000	4086915.000000
10.354265	1089542.073133	424609.500000	4246095.000000	422775.500000	4227755.000000
10.498153	1104682.915329	440965.000000	4409650.000000	438287.500000	4382875.000000
10.657102	1121408.548359	472636.500000	4726365.000000	472430.000000	4724300.000000
10.848746	1141574.508693	510212.500000	5102125.000000	511287.000000	5112870.000000
10.999438	1157431.349612	545993.000000	5459930.000000	546220.500000	5462205.000000
11.161167	1174449.506044	568606.500000	5686065.000000	570451.000000	5704510.000000
11.341235	1193397.388665	607621.000000	6076210.000000	612867.500000	6128675.000000
11.529310	1213187.864821	667485.000000	6674850.000000	673393.000000	6733930.000000
11.712282	1232441.358403	714042.000000	7140420.000000	721098.000000	7210980.000000
11.857249	1247695.710198	733008.500000	7330085.000000	744156.000000	7441560.000000
12.042960	1267237.331638	773832.500000	7738325.000000	784553.000000	7845530.000000
12.219418	1285805.377487	804562.500000	8045625.000000	817957.000000	8179570.000000
12.439731	1308988.139636	883582.000000	8835820.000000	908792.500000	9087925.000000
12.645066	1330594.850246	983517.500000	9835175.000000	1014461.000000	10144610.000000
13.279410	1397344.595655	1199537.500000	11995375.000000	1242381.000000	12423810.000000
13.493292	1419850.648825	1214514.000000	12145140.000000	1259181.000000	12591810.000000
13.687716	1440309.115779	1288920.500000	12889205.000000	1339233.000000	13392330.000000
13.860108	1458449.306463	1349309.500000	13493095.000000	1415452.500000	14154525.000000
14.066148	1480130.217079	1404620.000000	14046200.000000	1472901.500000	14729015.000000
14.238997	1498318.431750	1439980.500000	14399805.000000	1509553.500000	15095535.000000
14.470886	1522719.298321	1545848.500000	15458485.000000	1630786.500000	16307865.000000
14.690079	1545784.188711	1671253.500000	16712535.000000	1775676.000000	17756760.000000
14.898650	1567731.390405	1701315.000000	17013150.000000	1805930.000000	18059300.000000
15.179539	1597288.340749	1786879.500000	17868795.000000	1909173.000000	19091730.000000
15.531916	1634367.689917	1899509.500000	18995095.000000	2050237.000000	20502370.000000
15.917153	1674904.799504	2053397.500000	20533975.000000	2237088.000000	22370880.000000
16.288283	1713957.481107	2262942.500000	22629425.000000	2479183.000000	24791830.000000
16.683436	1755538.027411	2436976.500000	24369765.000000	2696018.500000	26960185.000000
17.049712	1794079.922670	2572020.500000	25720205.000000	2866703.000000	28667030.000000
17.463785	1837651.317354	2697576.000000	26975760.000000	3024168.000000	30241680.000000
