TCSPC experiment 

Parameters:
Wavelength [nm]: 852.000000
Exposure time [s]: 100.000000
Threshold [V]: -0.200000
Beam power [mW]: 4.351101
Beam power density [W/cm^2]: 457850.687500
Beam diameter [um]: 1.100000

Time [s] 	Intensity (1Ch) [counts] 	Intensity (1Ch) [cps] 	Intensity (2Ch) [counts] 	Intensity (1Ch) [cps] 
0.060250	2.000000	0.000400	1.000000	0.000200
0.060300	0.000000	0.000000	1.000000	0.000200
0.060350	0.000000	0.000000	0.000000	0.000000
0.060400	2.000000	0.000400	2.000000	0.000400
0.060450	0.000000	0.000000	1.000000	0.000200
0.060500	0.000000	0.000000	0.000000	0.000000
0.060550	1.000000	0.000200	0.000000	0.000000
0.060600	2.000000	0.000400	0.000000	0.000000
0.060650	0.000000	0.000000	3.000000	0.000600
0.060700	0.000000	0.000000	1.000000	0.000200
0.060750	0.000000	0.000000	1.000000	0.000200
0.060800	0.000000	0.000000	1.000000	0.000200
0.060850	1.000000	0.000200	1.000000	0.000200
0.060900	2.000000	0.000400	1.000000	0.000200
0.060950	0.000000	0.000000	0.000000	0.000000
0.061000	0.000000	0.000000	0.000000	0.000000
0.061050	3.000000	0.000600	0.000000	0.000000
0.061100	0.000000	0.000000	0.000000	0.000000
0.061150	1.000000	0.000200	0.000000	0.000000
0.061200	2.000000	0.000400	0.000000	0.000000
0.061250	0.000000	0.000000	0.000000	0.000000
0.061300	0.000000	0.000000	0.000000	0.000000
0.061350	0.000000	0.000000	0.000000	0.000000
0.061400	0.000000	0.000000	0.000000	0.000000
0.061450	1.000000	0.000200	0.000000	0.000000
0.061500	1.000000	0.000200	0.000000	0.000000
0.061550	1.000000	0.000200	0.000000	0.000000
0.061600	0.000000	0.000000	0.000000	0.000000
0.061650	0.000000	0.000000	1.000000	0.000200
0.061700	0.000000	0.000000	0.000000	0.000000
0.061750	0.000000	0.000000	0.000000	0.000000
0.061800	0.000000	0.000000	0.000000	0.000000
0.061850	1.000000	0.000200	0.000000	0.000000
0.061900	0.000000	0.000000	0.000000	0.000000
0.061950	1.000000	0.000200	0.000000	0.000000
0.062000	0.000000	0.000000	0.000000	0.000000
0.062050	0.000000	0.000000	0.000000	0.000000
0.062100	0.000000	0.000000	0.000000	0.000000
0.062150	0.000000	0.000000	2.000000	0.000400
0.062200	1.000000	0.000200	2.000000	0.000400
0.062250	0.000000	0.000000	0.000000	0.000000
0.062300	4.000000	0.000800	0.000000	0.000000
0.062350	1.000000	0.000200	0.000000	0.000000
0.062400	4.000000	0.000800	1.000000	0.000200
0.062450	1.000000	0.000200	0.000000	0.000000
0.062500	0.000000	0.000000	0.000000	0.000000
0.062550	1.000000	0.000200	0.000000	0.000000
0.062600	0.000000	0.000000	0.000000	0.000000
0.062650	0.000000	0.000000	0.000000	0.000000
0.062700	1.000000	0.000200	1.000000	0.000200
0.062750	2.000000	0.000400	0.000000	0.000000
0.062800	2.000000	0.000400	0.000000	0.000000
0.062850	1.000000	0.000200	0.000000	0.000000
0.062900	0.000000	0.000000	0.000000	0.000000
0.062950	0.000000	0.000000	0.000000	0.000000
0.063000	0.000000	0.000000	0.000000	0.000000
0.063050	3.000000	0.000600	1.000000	0.000200
0.063100	0.000000	0.000000	0.000000	0.000000
0.063150	0.000000	0.000000	0.000000	0.000000
0.063200	0.000000	0.000000	0.000000	0.000000
0.063250	0.000000	0.000000	1.000000	0.000200
0.063300	1.000000	0.000200	0.000000	0.000000
0.063350	2.000000	0.000400	1.000000	0.000200
0.063400	1.000000	0.000200	0.000000	0.000000
0.063450	0.000000	0.000000	0.000000	0.000000
0.063500	2.000000	0.000400	1.000000	0.000200
0.063550	3.000000	0.000600	0.000000	0.000000
0.063600	0.000000	0.000000	0.000000	0.000000
0.063650	0.000000	0.000000	2.000000	0.000400
0.063700	0.000000	0.000000	0.000000	0.000000
0.063750	1.000000	0.000200	0.000000	0.000000
0.063800	0.000000	0.000000	0.000000	0.000000
0.063850	0.000000	0.000000	2.000000	0.000400
0.063900	0.000000	0.000000	0.000000	0.000000
0.063950	0.000000	0.000000	0.000000	0.000000
0.064000	0.000000	0.000000	0.000000	0.000000
0.064050	0.000000	0.000000	0.000000	0.000000
0.064100	0.000000	0.000000	0.000000	0.000000
0.064150	0.000000	0.000000	0.000000	0.000000
0.064200	1.000000	0.000200	0.000000	0.000000
0.064250	0.000000	0.000000	0.000000	0.000000
0.064300	2.000000	0.000400	0.000000	0.000000
0.064350	1.000000	0.000200	0.000000	0.000000
0.064400	0.000000	0.000000	0.000000	0.000000
0.064450	1.000000	0.000200	1.000000	0.000200
0.064500	0.000000	0.000000	0.000000	0.000000
0.064550	0.000000	0.000000	1.000000	0.000200
0.064600	1.000000	0.000200	0.000000	0.000000
0.064650	0.000000	0.000000	0.000000	0.000000
0.064700	2.000000	0.000400	0.000000	0.000000
0.064750	0.000000	0.000000	0.000000	0.000000
0.064800	2.000000	0.000400	0.000000	0.000000
0.064850	1.000000	0.000200	0.000000	0.000000
0.064900	0.000000	0.000000	0.000000	0.000000
0.064950	0.000000	0.000000	0.000000	0.000000
0.065000	0.000000	0.000000	0.000000	0.000000
0.065050	1.000000	0.000200	0.000000	0.000000
0.065100	0.000000	0.000000	0.000000	0.000000
0.065150	1.000000	0.000200	0.000000	0.000000
0.065200	4.000000	0.000800	0.000000	0.000000
0.065250	1.000000	0.000200	0.000000	0.000000
0.065300	0.000000	0.000000	0.000000	0.000000
0.065350	1.000000	0.000200	0.000000	0.000000
0.065400	2.000000	0.000400	0.000000	0.000000
0.065450	1.000000	0.000200	0.000000	0.000000
0.065500	0.000000	0.000000	1.000000	0.000200
0.065550	0.000000	0.000000	0.000000	0.000000
0.065600	0.000000	0.000000	0.000000	0.000000
0.065650	2.000000	0.000400	0.000000	0.000000
0.065700	0.000000	0.000000	0.000000	0.000000
0.065750	0.000000	0.000000	1.000000	0.000200
0.065800	0.000000	0.000000	0.000000	0.000000
0.065850	1.000000	0.000200	0.000000	0.000000
0.065900	0.000000	0.000000	0.000000	0.000000
0.065950	2.000000	0.000400	0.000000	0.000000
0.066000	1.000000	0.000200	0.000000	0.000000
0.066050	0.000000	0.000000	0.000000	0.000000
0.066100	0.000000	0.000000	0.000000	0.000000
0.066150	0.000000	0.000000	0.000000	0.000000
0.066200	1.000000	0.000200	0.000000	0.000000
0.066250	0.000000	0.000000	0.000000	0.000000
0.066300	1.000000	0.000200	0.000000	0.000000
0.066350	0.000000	0.000000	1.000000	0.000200
0.066400	0.000000	0.000000	1.000000	0.000200
0.066450	0.000000	0.000000	0.000000	0.000000
0.066500	0.000000	0.000000	0.000000	0.000000
0.066550	0.000000	0.000000	0.000000	0.000000
0.066600	0.000000	0.000000	0.000000	0.000000
0.066650	1.000000	0.000200	0.000000	0.000000
0.066700	1.000000	0.000200	0.000000	0.000000
0.066750	2.000000	0.000400	0.000000	0.000000
0.066800	0.000000	0.000000	0.000000	0.000000
0.066850	1.000000	0.000200	0.000000	0.000000
0.066900	1.000000	0.000200	0.000000	0.000000
0.066950	0.000000	0.000000	0.000000	0.000000
0.067000	0.000000	0.000000	0.000000	0.000000
0.067050	0.000000	0.000000	1.000000	0.000200
0.067100	1.000000	0.000200	0.000000	0.000000
0.067150	1.000000	0.000200	0.000000	0.000000
0.067200	0.000000	0.000000	1.000000	0.000200
0.067250	0.000000	0.000000	0.000000	0.000000
0.067300	1.000000	0.000200	1.000000	0.000200
0.067350	0.000000	0.000000	2.000000	0.000400
0.067400	0.000000	0.000000	0.000000	0.000000
0.067450	0.000000	0.000000	0.000000	0.000000
0.067500	0.000000	0.000000	0.000000	0.000000
0.067550	1.000000	0.000200	0.000000	0.000000
0.067600	0.000000	0.000000	0.000000	0.000000
0.067650	1.000000	0.000200	0.000000	0.000000
0.067700	0.000000	0.000000	0.000000	0.000000
0.067750	1.000000	0.000200	0.000000	0.000000
0.067800	2.000000	0.000400	0.000000	0.000000
0.067850	0.000000	0.000000	0.000000	0.000000
0.067900	0.000000	0.000000	0.000000	0.000000
0.067950	0.000000	0.000000	0.000000	0.000000
0.068000	0.000000	0.000000	0.000000	0.000000
0.068050	3.000000	0.000600	0.000000	0.000000
0.068100	0.000000	0.000000	0.000000	0.000000
0.068150	2.000000	0.000400	0.000000	0.000000
0.068200	0.000000	0.000000	1.000000	0.000200
0.068250	0.000000	0.000000	0.000000	0.000000
0.068300	0.000000	0.000000	1.000000	0.000200
0.068350	1.000000	0.000200	1.000000	0.000200
0.068400	0.000000	0.000000	0.000000	0.000000
0.068450	1.000000	0.000200	0.000000	0.000000
0.068500	0.000000	0.000000	0.000000	0.000000
0.068550	1.000000	0.000200	0.000000	0.000000
0.068600	2.000000	0.000400	0.000000	0.000000
0.068650	1.000000	0.000200	0.000000	0.000000
0.068700	1.000000	0.000200	0.000000	0.000000
0.068750	1.000000	0.000200	0.000000	0.000000
0.068800	3.000000	0.000600	1.000000	0.000200
0.068850	0.000000	0.000000	0.000000	0.000000
0.068900	1.000000	0.000200	0.000000	0.000000
0.068950	2.000000	0.000400	0.000000	0.000000
0.069000	0.000000	0.000000	0.000000	0.000000
0.069050	0.000000	0.000000	1.000000	0.000200
0.069100	0.000000	0.000000	0.000000	0.000000
0.069150	0.000000	0.000000	0.000000	0.000000
0.069200	2.000000	0.000400	0.000000	0.000000
0.069250	1.000000	0.000200	0.000000	0.000000
0.069300	0.000000	0.000000	0.000000	0.000000
0.069350	0.000000	0.000000	0.000000	0.000000
0.069400	1.000000	0.000200	0.000000	0.000000
0.069450	1.000000	0.000200	0.000000	0.000000
0.069500	2.000000	0.000400	0.000000	0.000000
0.069550	0.000000	0.000000	0.000000	0.000000
0.069600	0.000000	0.000000	0.000000	0.000000
0.069650	0.000000	0.000000	0.000000	0.000000
0.069700	0.000000	0.000000	0.000000	0.000000
0.069750	0.000000	0.000000	0.000000	0.000000
0.069800	0.000000	0.000000	2.000000	0.000400
0.069850	0.000000	0.000000	0.000000	0.000000
0.069900	3.000000	0.000600	0.000000	0.000000
0.069950	0.000000	0.000000	0.000000	0.000000
0.070000	1.000000	0.000200	0.000000	0.000000
0.070050	0.000000	0.000000	0.000000	0.000000
0.070100	1.000000	0.000200	0.000000	0.000000
0.070150	0.000000	0.000000	0.000000	0.000000
0.070200	1.000000	0.000200	1.000000	0.000200
0.070250	0.000000	0.000000	0.000000	0.000000
0.070300	1.000000	0.000200	0.000000	0.000000
0.070350	0.000000	0.000000	1.000000	0.000200
0.070400	0.000000	0.000000	0.000000	0.000000
0.070450	0.000000	0.000000	0.000000	0.000000
0.070500	2.000000	0.000400	0.000000	0.000000
0.070550	4.000000	0.000800	0.000000	0.000000
0.070600	0.000000	0.000000	0.000000	0.000000
0.070650	0.000000	0.000000	0.000000	0.000000
0.070700	0.000000	0.000000	2.000000	0.000400
0.070750	1.000000	0.000200	0.000000	0.000000
0.070800	0.000000	0.000000	0.000000	0.000000
0.070850	1.000000	0.000200	0.000000	0.000000
0.070900	2.000000	0.000400	1.000000	0.000200
0.070950	1.000000	0.000200	0.000000	0.000000
0.071000	0.000000	0.000000	0.000000	0.000000
0.071050	1.000000	0.000200	0.000000	0.000000
0.071100	0.000000	0.000000	1.000000	0.000200
0.071150	1.000000	0.000200	0.000000	0.000000
0.071200	0.000000	0.000000	0.000000	0.000000
0.071250	0.000000	0.000000	0.000000	0.000000
0.071300	0.000000	0.000000	0.000000	0.000000
0.071350	0.000000	0.000000	0.000000	0.000000
0.071400	0.000000	0.000000	0.000000	0.000000
0.071450	0.000000	0.000000	0.000000	0.000000
0.071500	1.000000	0.000200	1.000000	0.000200
0.071550	3.000000	0.000600	0.000000	0.000000
0.071600	0.000000	0.000000	0.000000	0.000000
0.071650	1.000000	0.000200	0.000000	0.000000
0.071700	1.000000	0.000200	0.000000	0.000000
0.071750	0.000000	0.000000	1.000000	0.000200
0.071800	0.000000	0.000000	0.000000	0.000000
0.071850	2.000000	0.000400	1.000000	0.000200
0.071900	0.000000	0.000000	0.000000	0.000000
0.071950	1.000000	0.000200	0.000000	0.000000
0.072000	0.000000	0.000000	1.000000	0.000200
0.072050	1.000000	0.000200	0.000000	0.000000
0.072100	1.000000	0.000200	0.000000	0.000000
0.072150	0.000000	0.000000	1.000000	0.000200
0.072200	0.000000	0.000000	0.000000	0.000000
0.072250	1.000000	0.000200	0.000000	0.000000
0.072300	0.000000	0.000000	1.000000	0.000200
0.072350	2.000000	0.000400	0.000000	0.000000
0.072400	1.000000	0.000200	1.000000	0.000200
0.072450	0.000000	0.000000	0.000000	0.000000
0.072500	1.000000	0.000200	0.000000	0.000000
0.072550	0.000000	0.000000	0.000000	0.000000
0.072600	0.000000	0.000000	0.000000	0.000000
